AverageTemperature,year
19.144858333333335,1960
19.14502166666667,1961
18.949441666666665,1962
18.996930833333334,1963
18.806191666666667,1964
18.852835833333334,1965
19.178754166666668,1966
18.794326666666667,1967
18.81778166666667,1968
18.960338333333333,1969
18.965957500000002,1970
18.777898333333333,1971
18.93212666666667,1972
19.206823333333336,1973
18.837208333333333,1974
18.99177,1975
18.690833333333334,1976
19.14536916666667,1977
18.9816575,1978
19.2348825,1979
19.068540833333333,1980
19.115568333333336,1981
19.068149166666668,1982
19.1975725,1983
18.960731666666668,1984
18.99713583333333,1985
19.044755833333333,1986
19.408555833333335,1987
19.3520425,1988
19.227380833333335,1989
19.509549166666666,1990
19.271515,1991
19.09105416666667,1992
19.178233333333335,1993
19.472902500000004,1994
19.439888333333332,1995
19.171846666666667,1996
19.3501625,1997
19.94603083333333,1998
19.69895916666667,1999
19.506243333333334,2000
19.67935166666667,2001
19.855685,2002
19.630196666666667,2003
19.672204166666667,2004
21.168901428571427,2005
19.793993333333333,2006
19.85427,2007
19.608778333333333,2008
19.833751666666668,2009
19.91173416666667,2010
19.549196666666667,2011
19.66823916666667,2012
